# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
IVD	ENSG00000128928	ENST00000487418	protein_coding	273	1325	2795	3864	1512	13	72	117	2	2574	2795	0	0	0	0	66	66	603	7	126	8	1	904	117
IVL	ENSG00000163207	ENST00000368764	protein_coding	363	8229	3848	1605	993	26	192	117	2	234	3848	0	0	0	7065	6	6	63	7	337	7	2	1071	117
IVNS1ABP	ENSG00000116679	ENST00000367498	protein_coding	463	10892	4369	10899	4941	265	1869	1368	2	3276	4261	0	0	0	8955	84	84	765	7	281	7	2	1227	117
IWS1	ENSG00000163166	ENST00000295321	protein_coding	513	13197	6238	4146	714	100	780	117	2	3042	5554	0	0	0	11835	78	78	711	7	342	8	1	1466	117
IYD	ENSG00000009765	ENST00000229447	protein_coding	194	4289	1959	21057	19473	73	420	117	2	1170	1959	0	0	0	3474	30	30	279	7	119	8	1	550	117
IZUMO1	ENSG00000182264	ENST00000332955	protein_coding	248	8264	2310	17451	60	238	1644	3903	2	2106	2301	0	0	0	6966	54	54	495	7	126	7	2	714	10170
IZUMO2	ENSG00000161652	ENST00000600293	protein_coding	181	780	1508	1884	345	0	3	117	0	1638	1508	0	0	0	0	42	42	387	0	89	8	1	500	117
IZUMO3	ENSG00000205442	ENST00000543880	protein_coding	199	4342	1581	2877	831	92	696	117	2	1404	1563	0	0	0	3573	36	36	333	7	113	7	2	466	117
IZUMO4	ENSG00000099840	ENST00000395301	protein_coding	209	958	1552	7419	705	28	192	4176	2	2106	1534	0	0	0	153	54	54	495	7	86	8	1	459	672
JADE1	ENSG00000077684	ENST00000226319	protein_coding	478	2148	5575	11820	8886	107	840	117	2	2340	5575	0	0	0	0	60	60	549	7	343	8	1	1651	117
JADE2	ENSG00000043143	ENST00000282605	protein_coding	444	2226	5429	3009	471	38	258	117	2	2574	5429	0	0	0	0	66	66	603	7	298	7	2	1770	117
JADE3	ENSG00000102221	ENST00000218343	protein_coding	472	2029	5520	9471	6483	98	894	117	2	2340	5520	0	0	0	0	60	60	549	7	337	8	1	1541	117
JAG1	ENSG00000101384	ENST00000254958	protein_coding	2264	3410	8171	11874	5442	207	1548	117	2	5850	8171	0	1458	0	0	150	150	1359	7	491	8	1	2291	117
JAG2	ENSG00000184916	ENST00000331782	protein_coding	728	37433	8191	12441	5142	143	1212	117	2	5850	8146	0	0	0	33849	150	150	1359	7	413	8	1	2574	1320
JAGN1	ENSG00000171135	ENST00000307768	protein_coding	98	2360	1209	3843	2916	64	507	117	2	234	1200	0	0	0	1890	6	6	63	7	71	8	1	367	117
JAK1	ENSG00000162434	ENST00000342505	protein_coding	7522	23556	7823	16614	3999	90	747	7287	2	5616	7733	0	6744	0	20493	144	144	1305	7	476	7	2	2168	117
JAK2	ENSG00000096968	ENST00000381652	protein_coding	14407	28292	7662	11256	4176	201	1482	117	2	6516	7572	0	13596	0	25170	144	144	1305	7	508	8	1	2099	117
JAK3	ENSG00000105639	ENST00000458235	protein_coding	4615	3360	7305	12210	5871	40	300	1644	2	5382	7305	0	3984	0	0	138	138	1251	7	340	8	1	2462	117
JAKMIP1	ENSG00000152969	ENST00000409021	protein_coding	605	11081	5468	5391	87	201	1350	117	2	4680	5450	0	0	0	8478	120	120	1089	7	350	8	1	1670	117
JAKMIP2	ENSG00000176049	ENST00000265272	protein_coding	648	10892	5374	14658	9300	186	1404	117	2	4680	5374	0	0	0	8442	120	120	1089	7	394	7	2	1513	117
JAKMIP3	ENSG00000188385	ENST00000298622	protein_coding	666	11869	5550	17628	11859	52	414	960	2	5382	5550	0	0	0	9261	138	138	1251	7	375	8	1	1662	117
JAM2	ENSG00000154721	ENST00000400532	protein_coding	251	9203	2031	5301	804	172	1650	1056	2	2106	2004	0	0	0	8055	54	54	495	7	128	8	1	667	117
JAM3	ENSG00000166086	ENST00000529443	protein_coding	229	1078	2298	12408	7680	8	72	3051	2	1872	2298	0	0	0	0	48	48	441	7	118	8	1	770	117
JARID2	ENSG00000008083	ENST00000341776	protein_coding	681	7881	8214	11568	5310	120	732	2247	2	3978	8169	0	0	0	4608	102	102	927	7	462	8	1	2574	117
JAZF1	ENSG00000153814	ENST00000283928	protein_coding	149	2692	1619	9636	6681	47	498	1596	2	936	1601	0	0	0	2016	24	24	225	7	87	7	2	490	117
JDP2	ENSG00000140044	ENST00000267569	protein_coding	110	2110	1132	4317	2946	94	579	117	2	702	1114	0	0	0	1530	18	18	171	7	59	8	1	384	117
JKAMP	ENSG00000050130	ENST00000554271	protein_coding	251	1117	2088	6927	1899	225	1578	117	2	1404	2088	0	0	0	0	36	36	333	7	164	8	1	664	2217
JMJD1C	ENSG00000171988	ENST00000399262	protein_coding	2186	12484	17002	8013	2472	91	657	117	2	5850	16849	0	744	0	6759	150	150	1359	7	1128	7	2	4874	117
JMJD4	ENSG00000081692	ENST00000366758	protein_coding	213	1170	3042	5085	3609	0	0	117	2	1218	3042	0	0	0	0	30	30	279	7	138	8	1	978	381
JMJD6	ENSG00000070495	ENST00000445478	protein_coding	1096	6373	2755	15225	11547	84	612	117	2	1404	2737	0	834	0	5274	36	36	333	7	175	8	1	805	1833
JMJD7	ENSG00000243789	ENST00000397299	protein_coding	216	3740	2046	18357	1275	14	120	4278	2	1632	2046	0	0	0	2790	42	42	387	7	117	8	1	672	11388
JMJD7-PLA2G4B	ENSG00000168970	ENST00000382448	protein_coding	649	3075	6556	25182	849	2	27	5970	2	8100	6556	0	0	0	0	144	144	1305	7	346	8	1	2197	11388
JMJD8	ENSG00000161999	ENST00000293882	protein_coding	208	1093	2107	22920	3354	0	0	7773	2	1872	2107	0	0	0	0	48	48	441	7	97	8	1	793	10305
JMY	ENSG00000152409	ENST00000396137	protein_coding	552	7158	6458	20319	16839	152	1386	117	2	2340	6413	0	0	0	4608	60	60	549	7	418	7	2	2052	117
JOSD1	ENSG00000100221	ENST00000216039	protein_coding	129	3142	1366	15141	7077	290	2040	5349	2	702	1339	0	0	0	2367	18	18	171	7	79	7	2	391	117
JOSD2	ENSG00000161677	ENST00000391815	protein_coding	115	643	1176	6315	513	14	93	117	2	936	1176	0	0	0	0	24	24	225	7	52	8	1	455	4848
JPH1	ENSG00000104369	ENST00000342232	protein_coding	315	12616	4439	8340	7053	12	123	117	2	1170	4340	0	0	0	11133	30	30	279	7	240	8	1	1360	117
JPH2	ENSG00000149596	ENST00000372980	protein_coding	291	2172	4453	9252	5469	376	2619	117	2	1170	4453	0	0	0	0	30	30	279	7	216	8	1	1586	117
JPH3	ENSG00000154118	ENST00000284262	protein_coding	296	21655	4868	27561	4488	86	726	13422	2	9000	4868	0	0	0	19791	24	24	225	7	233	8	1	1622	117
JPH4	ENSG00000092051	ENST00000356300	protein_coding	269	10552	3972	17532	4797	306	2376	9312	2	1170	3972	0	0	0	8559	30	30	279	7	194	8	1	1477	117
JRKL	ENSG00000183340	ENST00000332349	protein_coding	268	4756	3466	5973	3099	117	741	117	2	234	3466	0	0	0	3573	6	6	63	7	242	7	2	999	1830
JSRP1	ENSG00000167476	ENST00000300961	protein_coding	198	4510	2095	11823	231	26	195	10164	2	1404	2095	0	0	0	3474	36	36	333	7	111	8	1	764	117
JTB	ENSG00000143543	ENST00000271843	protein_coding	133	3737	945	10497	1230	159	1308	4431	2	936	936	0	0	0	3132	24	24	225	7	70	8	1	299	2784
JUN	ENSG00000177606	ENST00000371222	protein_coding	105	2697	2301	7209	3846	405	3129	117	2	0	2166	0	0	0	1701	0	0	9	7	90	8	1	714	117
JUNB	ENSG00000171223	ENST00000302754	protein_coding	106	2009	2285	3822	1485	89	828	1392	2	0	2204	0	0	0	1170	0	0	9	7	91	8	1	819	117
JUND	ENSG00000130522	ENST00000252818	protein_coding	92	2051	2254	2712	2064	41	414	117	2	0	2209	0	0	0	1215	0	0	9	7	77	8	1	828	117
JUP	ENSG00000173801	ENST00000310706	protein_coding	782	16973	4929	5724	2529	34	357	117	2	3276	4866	0	396	0	14823	84	84	765	7	203	8	1	1627	117
KAAG1	ENSG00000146049	ENST00000274766	protein_coding	35	568	526	4014	1170	319	2211	117	2	0	526	0	0	0	36	0	0	9	7	21	7	2	200	516
KAL1	ENSG00000011201	ENST00000262648	protein_coding	435	9148	4470	15465	12363	55	450	117	2	3042	4416	0	0	0	7236	78	78	711	7	265	7	2	1430	117
KALRN	ENSG00000160145	ENST00000360013	protein_coding	1851	8129	19812	16743	5154	68	381	117	2	13806	19812	0	0	0	0	354	354	3186	7	1128	8	1	5925	117
KANK1	ENSG00000107104	ENST00000382297	protein_coding	615	10353	8962	5256	2610	52	366	117	2	2574	8917	0	0	0	7146	66	66	603	7	468	8	1	2774	117
KANK2	ENSG00000197256	ENST00000432929	protein_coding	393	2592	5495	14847	6870	119	1083	117	2	2808	5495	0	0	0	0	72	72	657	7	234	8	1	1993	4545
KANK3	ENSG00000186994	ENST00000593649	protein_coding	334	5201	5407	8028	249	31	198	5604	2	2340	5353	0	0	0	2835	60	60	549	7	199	8	1	1999	117
KANK4	ENSG00000132854	ENST00000371153	protein_coding	451	5979	6507	6939	3894	157	1137	117	2	2106	6498	0	0	0	3357	54	54	495	7	328	8	1	2120	117
KANSL1	ENSG00000120071	ENST00000262419	protein_coding	567	3119	7174	19065	4560	207	1413	10371	2	3276	7174	0	0	0	0	84	84	765	7	384	8	1	2378	117
KANSL1L	ENSG00000144445	ENST00000281772	protein_coding	672	2480	6533	14604	4578	85	792	6513	2	3276	6524	0	0	0	9	84	84	765	7	489	8	1	1861	117
KANSL2	ENSG00000139620	ENST00000550347	protein_coding	370	1698	4423	3780	1926	14	132	117	2	1872	4423	0	0	0	0	48	48	441	7	259	8	1	1384	117
KANSL3	ENSG00000114982	ENST00000431828	protein_coding	499	3608	5701	11502	7317	28	231	117	2	4680	5656	0	0	0	882	120	120	1089	7	244	8	1	1993	117
KARS	ENSG00000065427	ENST00000319410	protein_coding	408	7334	4252	6675	513	63	366	540	2	3276	4162	0	0	0	5598	84	84	765	7	225	8	1	1229	2652
KAT2A	ENSG00000108773	ENST00000225916	protein_coding	655	8172	5501	12411	1623	18	162	4344	2	3969	5465	0	156	0	5787	102	102	927	7	280	8	1	1779	3129
KAT2B	ENSG00000114166	ENST00000263754	protein_coding	1399	8510	5438	10398	5637	149	1365	117	2	3978	5438	0	828	0	6048	102	102	927	7	352	8	1	1689	117
KAT5	ENSG00000172977	ENST00000341318	protein_coding	363	11304	3623	7632	1263	98	702	3321	2	2805	3542	0	0	0	9684	72	72	657	7	204	8	1	1159	117
KAT6A	ENSG00000083168	ENST00000265713	protein_coding	1908	41986	13481	12624	8178	198	1236	117	2	3744	13328	0	834	0	37503	96	96	873	7	867	8	1	3832	117
KAT6B	ENSG00000156650	ENST00000287239	protein_coding	1093	30814	13865	9591	4728	217	1467	117	2	3978	13811	0	0	0	26028	102	102	927	7	874	8	1	3963	117
KAT7	ENSG00000136504	ENST00000259021	protein_coding	455	6920	4244	8460	4782	102	840	117	2	3276	4028	0	0	0	5328	84	84	765	7	273	7	2	1189	117
KAT8	ENSG00000103510	ENST00000448516	protein_coding	1516	5549	3113	10563	1101	5	54	7122	2	2106	3050	0	1200	0	4320	54	54	495	7	193	8	1	951	612
KATNA1	ENSG00000186625	ENST00000335647	protein_coding	345	4935	3280	5832	489	28	135	3417	2	2106	3226	0	0	0	3663	54	54	495	7	223	7	2	961	117
KATNAL1	ENSG00000102781	ENST00000380615	protein_coding	341	1418	3230	20328	17730	63	504	117	2	2340	3230	0	0	0	0	60	60	549	7	206	8	1	965	117
KATNAL2	ENSG00000167216	ENST00000356157	protein_coding	417	2482	3517	30045	0	8	54	117	2	30477	3517	0	0	0	837	90	90	819	7	222	8	1	1094	117
KATNB1	ENSG00000140854	ENST00000379661	protein_coding	418	20815	4314	13353	912	185	1176	5871	2	4434	4296	0	0	0	18519	114	114	1035	7	175	8	1	1415	1872
KATNBL1	ENSG00000134152	ENST00000256544	protein_coding	281	969	2026	7332	4995	54	429	117	2	2106	2008	0	0	0	18	54	54	495	7	158	8	1	561	117
KAZALD1	ENSG00000107821	ENST00000370200	protein_coding	158	4585	1970	3972	2016	140	978	117	2	936	1943	0	0	0	3609	24	24	225	7	95	8	1	689	117
KAZN	ENSG00000189337	ENST00000376030	protein_coding	427	9331	5108	13944	10224	109	882	117	2	3276	5072	0	0	0	7092	84	84	765	7	245	7	2	1649	117
KB-1507C5.2	ENSG00000253320	ENST00000522939	protein_coding	48	307	514	3390	996	11	153	117	2	576	514	0	0	0	0	6	6	63	7	21	8	1	230	1596
KB-1980E6.3	ENSG00000253633	ENST00000523572	protein_coding	48	187	268	1818	1119	68	279	117	2	234	268	0	0	0	0	6	6	63	7	21	8	1	71	117
KBTBD11	ENSG00000176595	ENST00000320248	protein_coding	183	4152	3991	14934	11616	376	2898	117	2	234	3937	0	0	0	2259	6	6	63	7	156	8	1	1505	117
KBTBD12	ENSG00000187715	ENST00000405109	protein_coding	358	1564	4136	12729	10164	175	1401	117	2	1170	4136	0	0	0	0	30	30	279	7	284	7	2	1178	117
KBTBD13	ENSG00000234438	ENST00000432196	protein_coding	126	3866	2920	5472	5238	0	0	117	2	0	2920	0	0	0	2772	0	0	9	7	111	8	1	1082	117
KBTBD2	ENSG00000170852	ENST00000304056	protein_coding	332	4797	4125	6411	3519	281	2100	117	2	702	4116	0	0	0	3186	18	18	171	7	281	8	1	1201	117
KBTBD3	ENSG00000182359	ENST00000526793	protein_coding	340	1283	4074	8556	5256	57	480	117	2	468	4074	0	0	0	0	12	12	117	7	301	8	1	1124	2331
KBTBD4	ENSG00000123444	ENST00000533290	protein_coding	253	1503	3546	10419	2196	301	2145	2058	2	468	3546	0	0	0	0	12	12	117	7	215	7	2	1117	3648
KBTBD4	ENSG00000231880	ENST00000450908	protein_coding	16	68	177	11520	1383	0	6	5202	0	0	177	0	0	0	0	0	0	9	0	8	8	1	58	4929
KBTBD6	ENSG00000165572	ENST00000379485	protein_coding	269	4494	4434	9693	8754	89	705	117	2	0	4434	0	0	0	3024	0	0	9	7	254	8	1	1369	117
KBTBD7	ENSG00000120696	ENST00000379483	protein_coding	271	4246	4580	8271	7110	115	927	117	2	0	4508	0	0	0	2808	0	0	9	7	257	7	2	1382	117
KBTBD8	ENSG00000163376	ENST00000417314	protein_coding	308	5463	4022	9414	8475	19	147	117	2	702	4013	0	0	0	4203	18	18	171	7	258	7	2	1129	117
KCMF1	ENSG00000176407	ENST00000409785	protein_coding	238	2387	2554	20616	18189	112	1077	117	2	1404	2482	0	0	0	1332	36	36	333	7	151	8	1	787	117
KCNA1	ENSG00000111262	ENST00000382545	protein_coding	172	7279	3342	19884	16143	404	3321	117	2	234	3306	0	0	0	5850	6	6	63	7	146	7	2	994	117
KCNA10	ENSG00000143105	ENST00000369771	protein_coding	155	2422	3442	1503	105	178	1164	117	2	0	3406	0	0	0	1224	0	0	9	7	140	8	1	1044	117
KCNA2	ENSG00000177301	ENST00000316361	protein_coding	220	7196	3372	2556	87	252	1863	117	2	468	3309	0	0	0	5895	12	12	117	7	181	8	1	992	117
KCNA3	ENSG00000177272	ENST00000369769	protein_coding	174	7197	3796	5088	4182	70	672	117	2	0	3751	0	0	0	5904	0	0	9	7	160	7	2	1255	117
KCNA4	ENSG00000182255	ENST00000328224	protein_coding	253	8249	4359	7050	2928	546	3702	117	2	234	4332	0	0	0	6354	6	6	63	7	226	8	1	1310	117
KCNA5	ENSG00000130037	ENST00000252321	protein_coding	168	7698	4009	3303	2382	76	687	117	2	0	3973	0	0	0	6264	0	0	9	7	153	8	1	1382	117
KCNA6	ENSG00000151079	ENST00000280684	protein_coding	162	6487	3458	8175	5343	342	2598	117	2	0	3440	0	0	0	4986	0	0	9	7	147	8	1	1165	117
KCNA7	ENSG00000104848	ENST00000221444	protein_coding	124	2413	2944	10641	7935	114	1068	1335	2	234	2926	0	0	0	1197	6	6	63	7	97	8	1	1072	117
KCNAB1	ENSG00000169282	ENST00000490337	protein_coding	355	1577	2716	9819	5394	28	192	1698	2	3042	2716	0	0	0	207	78	78	711	7	185	7	2	861	117
KCNAB2	ENSG00000069424	ENST00000378083	protein_coding	340	5359	2969	23112	7815	127	867	11256	2	3510	2708	0	0	0	4050	90	90	819	7	146	7	2	872	384
KCNAB3	ENSG00000170049	ENST00000303790	protein_coding	323	1371	2593	14088	3729	0	0	117	2	3042	2584	0	0	0	9	78	78	711	7	152	8	1	891	7824
KCNB1	ENSG00000158445	ENST00000371741	protein_coding	299	1835	5708	28239	27318	54	501	117	2	234	5708	0	0	0	0	6	6	63	7	272	8	1	1733	117
KCNB2	ENSG00000182674	ENST00000523207	protein_coding	365	10675	6042	3144	774	255	1764	117	2	468	6033	0	0	0	8496	12	12	117	7	326	8	1	1831	117
KCNC1	ENSG00000129159	ENST00000265969	protein_coding	229	4827	3857	7179	2814	381	3573	117	2	702	3839	0	0	0	3105	18	18	171	7	178	8	1	1239	117
KCNC2	ENSG00000166006	ENST00000549446	protein_coding	268	7650	4151	12102	9081	267	2043	117	2	936	4133	0	0	0	5832	24	24	225	7	206	7	2	1394	117
KCNC3	ENSG00000131398	ENST00000477616	protein_coding	241	8811	4918	3915	1821	89	885	348	2	936	4891	0	0	0	6840	24	24	225	7	178	8	1	1735	117
KCNC4	ENSG00000116396	ENST00000369787	protein_coding	216	1553	4116	6078	5205	8	81	117	2	702	4116	0	0	0	0	18	18	171	7	165	8	1	1425	117
KCND1	ENSG00000102057	ENST00000218176	protein_coding	246	9311	4239	14586	3585	506	3894	2316	2	1170	4212	0	0	0	7209	30	30	279	7	171	8	1	1431	3861
KCND2	ENSG00000184408	ENST00000331113	protein_coding	282	11621	4459	11478	7419	426	2895	117	2	1170	4144	0	0	0	10008	30	30	279	7	208	7	2	1309	117
KCND3	ENSG00000171385	ENST00000315987	protein_coding	431	10217	4328	3780	804	198	1440	117	2	1638	4319	0	150	0	8361	42	42	387	7	183	7	2	1384	117
KCNE1	ENSG00000180509	ENST00000337385	protein_coding	82	551	839	9396	7662	161	1128	117	2	468	839	0	0	0	0	12	12	117	7	43	8	1	270	117
KCNE1L	ENSG00000176076	ENST00000372101	protein_coding	52	1135	921	3342	2676	56	432	117	2	0	903	0	0	0	756	0	0	9	7	38	7	2	328	117
KCNE2	ENSG00000159197	ENST00000290310	protein_coding	76	1857	841	2895	1617	62	420	555	2	234	823	0	0	0	1521	6	6	63	7	49	8	1	226	117
KCNE3	ENSG00000175538	ENST00000310128	protein_coding	66	503	671	9099	7233	163	1260	117	2	468	671	0	0	0	0	12	12	117	7	28	7	2	219	117
KCNE4	ENSG00000152049	ENST00000281830	protein_coding	97	2911	1464	8295	6882	140	993	117	2	234	1446	0	0	0	2277	6	6	63	7	70	8	1	464	117
KCNF1	ENSG00000162975	ENST00000295082	protein_coding	159	5203	3260	2643	939	171	1470	117	2	0	3260	0	0	0	3987	0	0	9	7	144	8	1	1033	117
KCNG1	ENSG00000026559	ENST00000371571	protein_coding	175	1336	3338	2613	1149	100	858	117	2	468	3338	0	0	0	0	12	12	117	7	136	8	1	1134	117
KCNG2	ENSG00000178342	ENST00000316249	protein_coding	125	4859	2948	5946	0	0	0	5643	2	234	2948	0	0	0	3681	6	6	63	7	98	8	1	1139	117
KCNG3	ENSG00000171126	ENST00000306078	protein_coding	161	5394	2847	7959	5751	200	1788	117	2	234	2847	0	0	0	4212	6	6	63	7	135	7	2	933	117
KCNG4	ENSG00000168418	ENST00000308251	protein_coding	187	6201	3393	813	0	28	207	117	2	468	3393	0	0	0	4959	12	12	117	7	149	7	2	1120	117
KCNH1	ENSG00000143473	ENST00000271751	protein_coding	463	17107	6572	2382	204	10	84	117	2	2340	6554	0	0	0	14733	60	60	549	7	328	8	1	2010	117
KCNH2	ENSG00000055118	ENST00000262186	protein_coding	777	20500	7544	5256	1212	153	1206	117	2	3276	7508	0	312	0	17235	84	84	765	7	282	8	1	2632	117
KCNH3	ENSG00000135519	ENST00000257981	protein_coding	473	20032	6957	8724	1065	78	780	4158	2	3276	6930	0	0	0	16947	84	84	765	7	290	8	1	2518	117
KCNH4	ENSG00000089558	ENST00000264661	protein_coding	481	3052	6543	8529	1599	119	999	639	2	3744	6543	0	0	0	0	96	96	873	7	274	8	1	2327	2316
KCNH5	ENSG00000140015	ENST00000322893	protein_coding	529	17367	6552	5718	2817	100	807	117	2	2340	6534	0	0	0	14958	60	60	549	7	395	7	2	1954	117
KCNH6	ENSG00000173826	ENST00000583023	protein_coding	450	16958	6511	6459	2475	3	33	1416	2	3042	6502	0	0	0	14328	78	78	711	7	279	8	1	2156	117
KCNH7	ENSG00000184611	ENST00000332142	protein_coding	670	19566	7919	4590	1266	30	300	117	2	3510	7901	0	0	0	16623	90	90	819	7	476	7	2	2378	117
KCNH8	ENSG00000183960	ENST00000328405	protein_coding	637	20459	7295	8463	4641	104	798	117	2	3510	7277	0	0	0	17586	90	90	819	7	442	8	1	2235	117
KCNIP1	ENSG00000182132	ENST00000434108	protein_coding	194	5594	1613	1536	0	0	0	117	2	1638	1613	0	0	0	4887	42	42	387	7	96	7	2	451	117
KCNIP2	ENSG00000120049	ENST00000461105	protein_coding	218	4354	1917	8208	0	0	0	117	2	2106	1899	0	0	0	3483	54	54	495	7	95	8	1	562	6417
KCNIP3	ENSG00000115041	ENST00000295225	protein_coding	194	5339	1766	8211	6084	57	405	117	2	1872	1721	0	0	0	4536	48	48	441	7	83	8	1	491	117
KCNIP4	ENSG00000185774	ENST00000382152	protein_coding	201	5248	1696	4764	2538	65	504	117	2	1872	1696	0	0	0	4428	48	48	441	7	91	7	2	454	117
KCNJ1	ENSG00000151704	ENST00000392664	protein_coding	156	4745	2628	1914	1143	38	351	117	2	234	2610	0	0	0	3906	6	6	63	7	130	7	2	770	117
KCNJ10	ENSG00000177807	ENST00000368089	protein_coding	141	4499	2466	12879	11778	74	681	117	2	234	2466	0	0	0	3546	6	6	63	7	114	8	1	822	117
KCNJ11	ENSG00000187486	ENST00000339994	protein_coding	100	1123	2573	6090	3180	268	1704	117	2	0	2573	0	0	0	0	0	0	9	7	85	8	1	843	1089
KCNJ12	ENSG00000184185	ENST00000331718	protein_coding	161	5264	2888	3294	1578	162	1110	117	2	468	2870	0	0	0	4104	12	12	117	7	122	8	1	896	117
KCNJ13	ENSG00000115474	ENST00000233826	protein_coding	146	886	2388	6342	5181	48	420	153	2	567	2388	0	0	0	0	12	12	117	7	108	7	2	735	117
KCNJ14	ENSG00000182324	ENST00000342291	protein_coding	152	5467	2829	21414	3732	171	1215	2421	2	3960	2820	0	0	0	4221	12	12	117	7	113	8	1	982	10182
KCNJ15	ENSG00000157551	ENST00000328656	protein_coding	183	1066	2479	22605	20904	137	909	117	2	702	2479	0	0	0	0	18	18	171	7	132	8	1	755	117
KCNJ16	ENSG00000153822	ENST00000586462	protein_coding	211	1069	3023	1989	780	124	789	117	2	234	3023	0	0	0	0	6	6	63	7	184	8	1	897	117
KCNJ2	ENSG00000123700	ENST00000243457	protein_coding	176	1056	2850	12744	11175	155	1149	117	2	234	2850	0	0	0	0	6	6	63	7	149	8	1	835	117
KCNJ3	ENSG00000162989	ENST00000295101	protein_coding	213	6341	3323	11151	9114	205	1431	117	2	468	3314	0	0	0	5049	12	12	117	7	175	7	2	1011	117
KCNJ4	ENSG00000168135	ENST00000303592	protein_coding	155	5620	2933	2601	1404	83	777	117	2	234	2933	0	0	0	4536	6	6	63	7	128	8	1	935	117
KCNJ5	ENSG00000120457	ENST00000338350	protein_coding	181	1137	2787	14022	366	136	1056	117	2	12510	2787	0	0	0	0	18	18	171	7	130	8	1	845	117
KCNJ6	ENSG00000157542	ENST00000288309	protein_coding	206	986	2800	951	0	14	159	117	2	702	2800	0	0	0	0	18	18	171	7	155	8	1	843	117
KCNJ8	ENSG00000121361	ENST00000240662	protein_coding	165	5228	2810	3948	2304	142	1038	117	2	468	2810	0	0	0	4113	12	12	117	7	126	8	1	871	117
KCNJ9	ENSG00000162728	ENST00000368088	protein_coding	155	4919	2554	17160	8238	89	726	7707	2	468	2554	0	0	0	3870	12	12	117	7	116	8	1	858	117
KCNK1	ENSG00000135750	ENST00000366621	protein_coding	153	6794	2213	4056	2946	55	504	117	2	468	2186	0	0	0	5967	12	12	117	7	114	8	1	715	117
KCNK10	ENSG00000100433	ENST00000312350	protein_coding	267	7964	3585	3642	1926	53	366	117	2	1404	3558	0	0	0	6570	36	36	333	7	181	7	2	1139	117
KCNK12	ENSG00000184261	ENST00000327876	protein_coding	122	4615	2749	22650	12978	202	1824	117	2	234	2740	0	0	0	3348	6	6	63	7	95	8	1	1026	7545
KCNK13	ENSG00000152315	ENST00000282146	protein_coding	149	4169	2696	4305	2562	162	1323	117	2	234	2678	0	0	0	3114	6	6	63	7	122	8	1	863	117
KCNK15	ENSG00000124249	ENST00000372861	protein_coding	106	880	2090	1890	588	40	393	606	2	234	2090	0	0	0	0	6	6	63	7	79	8	1	792	117
KCNK16	ENSG00000095981	ENST00000425054	protein_coding	157	2156	2109	4110	909	0	0	2340	2	936	2109	0	0	0	1314	24	24	225	7	94	8	1	686	117
KCNK17	ENSG00000124780	ENST00000373231	protein_coding	164	3860	2172	7068	1278	82	699	117	2	936	2154	0	0	0	2916	24	24	225	7	101	8	1	724	4230
KCNK18	ENSG00000186795	ENST00000334549	protein_coding	175	3973	2554	606	0	0	0	117	2	468	2536	0	0	0	3141	12	12	117	7	136	8	1	775	117
KCNK2	ENSG00000082482	ENST00000444842	protein_coding	233	8923	2802	7644	5844	60	450	117	2	1404	2766	0	0	0	7758	36	36	333	7	146	8	1	913	117
KCNK3	ENSG00000171303	ENST00000302909	protein_coding	137	963	2547	15351	14556	35	375	117	2	234	2547	0	0	0	0	6	6	63	7	110	8	1	880	117
KCNK4	ENSG00000182450	ENST00000394525	protein_coding	187	8852	2510	10182	915	83	558	3516	2	1404	2483	0	0	0	7605	36	36	333	7	100	8	1	945	4077
KCNK5	ENSG00000164626	ENST00000359534	protein_coding	224	4251	3296	7746	5751	136	1017	117	2	936	3260	0	0	0	2934	24	24	225	7	161	8	1	1061	117
KCNK6	ENSG00000099337	ENST00000263372	protein_coding	112	3412	1976	6324	4851	40	321	117	2	468	1958	0	0	0	2529	12	12	117	7	73	8	1	777	663
KCNK7	ENSG00000173338	ENST00000340313	protein_coding	117	3514	1914	12081	450	76	672	6255	2	468	1905	0	0	0	2592	12	12	117	7	78	8	1	771	4332
KCNK9	ENSG00000169427	ENST00000303015	protein_coding	157	4492	2476	1140	342	27	192	117	2	468	2467	0	0	0	3609	12	12	117	7	118	8	1	772	117
KCNMA1	ENSG00000156113	ENST00000404771	protein_coding	799	3692	8561	6402	426	50	348	117	2	6786	8561	0	0	0	0	174	174	1566	7	436	8	1	2586	117
KCNMB1	ENSG00000145936	ENST00000274629	protein_coding	127	2917	1259	14220	12099	199	1329	117	2	702	1232	0	0	0	2205	18	18	171	7	76	8	1	402	117
KCNMB2	ENSG00000197584	ENST00000358316	protein_coding	147	631	1550	5577	4440	51	345	117	2	702	1550	0	0	0	0	18	18	171	7	97	7	2	459	117
